User:	vzw Between The Hills
Company:	Asd
Venue:	Putrock - Underground
Soundcard Serial#:	1724
Microphone Serial#:	1724
Calibration Value: 	0,0143
Calibration date: 	Factory Calibration
Software Version:	10EaZy Version 2.5.0_build 131014 , Web server IP is 127.0.0.1
File Created:	19/04/2017 10:05:19

dBA limit in this session	85
Leq period [Min]	15



Time	Running Order	Leq 1 min dB(A)	Leq 60 Min dB(A)	Leq 15 Min dB(A)	Leq 1 min dB(C)	Leq 60 Min dB(C)	Leq 15 Min dB(C)	Max FAST dB(A)	Max Peak dB(C)	Leq 60 min dB(A)	Leq C - A	Max SLOW dB(A)	Leq 1 min - Audience dB(A)	
19/04/2017 10:06		86,6	86,6	86,6	93,5	93,5	93,5	102,3	113,5	86,6	6,9	61,9	79,0
19/04/2017 10:07		72,0	83,7	83,7	86,0	91,2	91,2	80,1	102,6	83,7	14,0	76,9	72,0
19/04/2017 10:08		74,7	82,1	82,1	88,9	90,5	90,5	82,1	106,1	82,1	14,1	69,1	74,7
19/04/2017 10:09		77,8	81,4	81,4	87,1	89,9	89,9	86,9	105,6	81,4	9,3	73,0	77,5
19/04/2017 10:10		79,7	81,1	81,1	88,6	89,7	89,7	86,8	104,9	81,1	9,0	81,8	79,7
19/04/2017 10:11		82,2	81,3	81,3	90,4	89,8	89,8	95,6	107,5	81,3	8,2	81,0	81,8
19/04/2017 10:12		79,9	81,1	81,1	92,8	90,4	90,4	84,3	107,4	81,1	12,9	80,6	79,9
19/04/2017 10:13		80,8	81,1	81,1	92,4	90,7	90,7	86,9	106,1	81,1	11,7	80,6	80,6
19/04/2017 10:14		77,7	80,8	80,8	90,6	90,7	90,7	85,0	107,0	80,8	12,8	80,6	77,7
19/04/2017 10:15		80,9	80,8	80,8	93,8	91,1	91,1	88,1	114,1	80,8	12,9	77,1	80,9
19/04/2017 10:16		75,4	80,5	80,5	86,7	90,9	90,9	87,2	103,0	80,5	11,3	72,5	75,4
19/04/2017 10:17		75,3	80,3	80,3	84,9	90,6	90,6	85,8	102,8	80,3	9,6	72,3	75,3
19/04/2017 10:18		71,6	80,0	80,0	84,5	90,3	90,3	77,5	101,4	80,0	12,9	71,2	71,6
19/04/2017 10:19		75,6	79,8	79,8	87,3	90,2	90,2	81,7	103,2	79,8	11,7	78,2	75,6
19/04/2017 10:20		75,0	79,6	79,6	87,7	90,0	90,0	85,9	106,8	79,6	12,6	77,8	75,0
19/04/2017 10:21		76,7	79,4	78,1	88,8	90,0	89,6	86,3	109,3	79,4	12,1	77,9	76,7
19/04/2017 10:22		76,2	79,3	78,2	85,7	89,8	89,6	81,8	101,9	79,3	9,5	63,7	76,2
19/04/2017 10:23		78,7	79,3	78,4	90,5	89,8	89,7	86,2	105,4	79,3	11,8	81,0	78,7
19/04/2017 10:24		79,4	79,3	78,5	92,5	90,0	90,1	87,6	105,4	79,3	13,0	80,8	79,4
19/04/2017 10:25		80,5	79,4	78,6	90,8	90,1	90,2	85,8	105,0	79,4	10,3	83,0	80,5
19/04/2017 10:26		76,6	79,3	78,1	88,2	90,0	90,1	85,2	105,0	79,3	11,6	72,6	76,6
19/04/2017 10:27		74,3	79,1	77,7	85,7	89,9	89,6	82,0	100,7	79,1	11,4	76,1	74,3
19/04/2017 10:28		74,5	79,0	77,3	86,6	89,8	89,2	89,7	106,6	79,0	12,0	75,6	74,0
19/04/2017 10:29		74,4	78,9	77,1	86,6	89,7	88,9	82,3	101,4	78,9	12,2	77,8	74,4
19/04/2017 10:30		67,8	78,7	76,4	77,5	89,5	88,0	82,4	97,6	78,7	9,7	58,6	66,7
19/04/2017 10:31		60,4	78,5	76,1	74,7	89,3	87,8	68,1	90,3	78,5	14,3	58,3	60,4
19/04/2017 10:32		61,0	78,4	75,9	79,7	89,2	87,7	69,6	93,6	78,4	18,7	62,7	61,0
19/04/2017 10:33		59,9	78,2	75,8	79,9	89,1	87,6	71,0	92,8	78,2	20,0	61,9	59,9
19/04/2017 10:34		60,2	78,1	75,5	80,0	88,9	87,3	72,5	95,2	78,1	19,7	65,4	60,2
19/04/2017 10:35		61,1	77,9	75,3	74,5	88,8	87,0	75,0	92,8	77,9	13,3	55,9	61,1
19/04/2017 10:36		59,2	77,8	74,9	73,7	88,6	86,6	77,2	94,4	77,8	14,6	59,6	59,2
19/04/2017 10:37		61,1	77,7	74,4	77,7	88,5	86,4	73,2	93,4	77,7	16,6	61,4	60,8
19/04/2017 10:38		61,2	77,5	73,6	76,9	88,4	85,6	73,1	91,1	77,5	15,8	60,0	61,2
19/04/2017 10:39		61,0	77,4	72,3	78,9	88,3	84,0	72,5	93,8	77,4	17,8	62,6	61,0
