User:	vzw Between The Hills
Company:	Asd
Venue:	Putrock - Underground
Soundcard Serial#:	1724
Microphone Serial#:	1724
Calibration Value: 	0,0143
Calibration date: 	Factory Calibration
Software Version:	10EaZy Version 2.5.0_build 131014 , Web server IP is 127.0.0.1
File Created:	20/04/2017 11:03:24

dBA limit in this session	85
Leq period [Min]	15



Time	Running Order	Leq 1 min dB(A)	Leq 60 Min dB(A)	Leq 15 Min dB(A)	Leq 1 min dB(C)	Leq 60 Min dB(C)	Leq 15 Min dB(C)	Max FAST dB(A)	Max Peak dB(C)	Leq 60 min dB(A)	Leq C - A	Max SLOW dB(A)	Leq 1 min - Audience dB(A)	
20/04/2017 11:04		71,8	71,8	71,8	84,2	84,2	84,2	75,3	100,4	71,8	12,4	72,4	71,8
20/04/2017 11:05		71,5	71,7	71,7	87,6	86,3	86,3	77,0	102,1	71,7	16,1	73,3	71,5
20/04/2017 11:06		73,1	72,2	72,2	89,0	87,4	87,4	77,4	102,3	72,2	16,0	68,4	73,1
20/04/2017 11:07		72,8	72,3	72,3	88,0	87,6	87,6	77,2	102,3	72,3	15,3	73,1	72,8
20/04/2017 11:08		72,2	72,3	72,3	90,0	88,2	88,2	76,3	102,6	72,3	17,8	71,4	72,2
20/04/2017 11:09		68,8	71,9	71,9	84,4	87,7	87,7	73,1	101,5	71,9	15,6	69,5	68,8
20/04/2017 11:10		70,7	71,7	71,7	90,9	88,4	88,4	75,8	102,5	71,7	20,2	71,8	70,7
20/04/2017 11:11		69,1	71,5	71,5	88,8	88,4	88,4	74,8	102,7	71,5	19,7	66,4	69,1
20/04/2017 11:12		67,5	71,2	71,2	73,0	87,9	87,9	73,8	89,1	71,2	5,5	67,5	67,5
20/04/2017 11:13		70,9	71,2	71,2	91,5	88,5	88,5	75,8	102,0	71,2	20,6	70,8	70,9
20/04/2017 11:14		69,8	71,0	71,0	89,7	88,6	88,6	74,3	102,3	71,0	19,9	69,2	69,8
20/04/2017 11:15		69,8	71,0	71,0	88,2	88,6	88,6	75,7	102,7	71,0	18,4	71,8	69,8
20/04/2017 11:16		70,0	70,9	70,9	90,4	88,7	88,7	74,0	102,8	70,9	20,4	70,4	70,0
20/04/2017 11:17		69,8	70,8	70,8	88,2	88,7	88,7	74,8	102,6	70,8	18,5	70,7	69,8
20/04/2017 11:18		69,7	70,8	70,8	90,0	88,8	88,8	73,0	103,1	70,8	20,3	69,1	69,7
20/04/2017 11:19		68,4	70,6	70,5	89,3	88,8	89,0	72,8	101,4	70,6	20,9	69,0	68,4
20/04/2017 11:20		69,6	70,6	70,4	86,9	88,7	89,0	73,4	100,8	70,6	17,3	70,1	69,6
20/04/2017 11:21		70,3	70,6	70,2	87,1	88,7	88,9	75,1	100,8	70,6	16,8	70,8	70,3
20/04/2017 11:22		70,8	70,6	70,0	88,8	88,7	88,9	75,0	101,0	70,6	18,0	72,2	70,8
20/04/2017 11:23		69,7	70,5	69,7	91,1	88,8	89,0	74,0	103,5	70,5	21,3	69,4	69,7
20/04/2017 11:24		67,9	70,4	69,7	85,5	88,7	89,0	75,0	103,4	70,4	17,6	72,3	67,9
20/04/2017 11:25		71,2	70,5	69,7	90,1	88,8	89,0	75,3	103,4	70,5	19,0	66,2	71,2
20/04/2017 11:26		68,6	70,4	69,7	84,5	88,7	88,8	74,5	102,9	70,4	15,9	71,7	68,6
20/04/2017 11:27		70,1	70,4	69,9	89,3	88,7	89,1	75,4	102,7	70,4	19,1	65,6	70,1
20/04/2017 11:28		68,7	70,3	69,7	88,2	88,7	88,8	73,0	103,4	70,3	19,6	71,4	68,7
20/04/2017 11:29		71,2	70,4	69,8	89,6	88,7	88,8	76,4	101,8	70,4	18,4	67,6	71,2
20/04/2017 11:30		70,3	70,4	69,9	88,8	88,7	88,8	76,9	102,9	70,4	18,5	71,5	70,3
20/04/2017 11:31		71,3	70,4	70,0	88,4	88,7	88,7	76,6	101,5	70,4	17,1	71,2	71,3
20/04/2017 11:32		70,8	70,4	70,0	91,4	88,8	89,0	74,8	103,1	70,4	20,6	72,4	70,8
20/04/2017 11:33		72,9	70,5	70,3	91,7	89,0	89,1	76,2	102,9	70,5	18,8	73,2	72,9
20/04/2017 11:34		73,0	70,6	70,6	91,8	89,1	89,4	76,6	102,7	70,6	18,8	73,9	73,0
20/04/2017 11:35		72,0	70,7	70,8	86,4	89,0	89,3	76,1	102,3	70,7	14,4	72,8	72,0
20/04/2017 11:36		72,7	70,8	71,0	91,6	89,1	89,6	76,0	102,5	70,8	18,9	72,5	72,7
20/04/2017 11:37		71,0	70,8	71,0	92,5	89,3	90,0	74,8	104,1	70,8	21,5	70,4	71,0
20/04/2017 11:38		71,4	70,8	71,1	90,2	89,3	89,9	74,9	102,6	70,8	18,7	72,5	71,4
20/04/2017 11:39		70,1	70,8	71,2	88,5	89,3	90,0	75,7	102,0	70,8	18,4	71,9	70,1
20/04/2017 11:40		72,0	70,8	71,3	91,6	89,4	90,1	75,1	103,5	70,8	19,6	73,4	72,0
20/04/2017 11:41		71,2	70,8	71,4	91,8	89,5	90,4	75,0	102,2	70,8	20,6	68,2	71,2
20/04/2017 11:42		66,9	70,8	71,3	87,0	89,4	90,4	73,0	101,7	70,8	20,1	68,6	66,9
20/04/2017 11:43		70,0	70,7	71,3	85,0	89,3	90,3	74,2	100,6	70,7	15,0	65,8	70,0
20/04/2017 11:44		71,1	70,8	71,3	89,6	89,3	90,3	75,6	101,9	70,8	18,4	72,1	71,1
20/04/2017 11:45		69,3	70,7	71,3	86,6	89,3	90,2	75,1	102,2	70,7	17,3	67,5	69,3
20/04/2017 11:46		71,3	70,7	71,3	89,0	89,3	90,2	77,4	102,3	70,7	17,7	71,5	71,3
20/04/2017 11:47		71,0	70,7	71,3	89,0	89,3	90,0	75,2	102,2	70,7	18,1	69,0	71,0
20/04/2017 11:48		69,7	70,7	71,1	89,4	89,3	89,9	77,7	103,0	70,7	19,7	72,7	69,7
20/04/2017 11:49		70,3	70,7	70,9	86,2	89,2	89,5	77,9	103,1	70,7	15,9	72,2	70,3
20/04/2017 11:50		72,4	70,8	70,9	89,7	89,3	89,7	77,4	103,1	70,8	17,3	72,4	72,4
20/04/2017 11:51		71,9	70,8	70,8	89,8	89,3	89,5	77,8	103,3	70,8	17,9	72,2	71,9
20/04/2017 11:52		71,1	70,8	70,8	89,7	89,3	89,3	74,3	103,5	70,8	18,6	70,4	71,1
20/04/2017 11:53		69,9	70,8	70,7	87,5	89,2	89,1	74,7	103,1	70,8	17,6	72,7	69,9
20/04/2017 11:54		72,4	70,8	70,9	85,9	89,2	89,0	75,3	101,0	70,8	13,5	73,9	72,4
20/04/2017 11:55		70,1	70,8	70,8	86,1	89,2	88,6	75,0	102,4	70,8	16,0	71,8	70,1
20/04/2017 11:56		72,0	70,8	70,8	88,2	89,1	88,2	75,8	101,5	70,8	16,2	71,2	72,0
20/04/2017 11:57		69,5	70,8	70,9	90,0	89,2	88,4	73,7	102,7	70,8	20,6	68,8	69,5
20/04/2017 11:58		68,4	70,8	70,9	89,5	89,2	88,6	73,2	102,1	70,8	21,2	64,1	68,4
20/04/2017 11:59		69,1	70,7	70,7	89,4	89,2	88,6	74,1	101,7	70,7	20,2	71,6	69,1
